name,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area
group,HG,HG,HG,HG,HG,HG,LG,LG,LG,LG,LG,LG
PG(16:0_18:1(11)),1229601,1180879,1387400,1361900,1328060,1669410,1555360,1067852,1261700,1442565,839652,1508110
"PG(16:0_18:2(9,12))",0,0,0,0,0,0,0,0,0,0,200960,0
"PG(16:0_22:6(4,7,10,13,16,19))",0,0,15760,27200,0,9876,0,3190,14290,28650,0,0
PG(16:1(9)_16:1(9)),96216,96418,69897,57509,41512,51340,47923,92620,45500,70220,41930,77261
PG(16:1(9)_18:1(9)),570090,617300,363760,327700,250440,293740,248890,585070,300760,374120,207400,534560
"PG(16:1(9)_18:2(9,12))",75967,82090,44580,45506,38300,38850,38630,58590,30625,49540,18730,70676
PG(18:0_18:1(9)),90800,185050,130900,176390,161140,184100,205480,76110,160340,170790,70534,178042
PG(18:1(9)_18:1(9)),898600,981700,650700,678200,396500,506300,426000,953700,598500,653700,725800,884600
"PG(18:1(9)_18:2(9,12))",226834,251032,134472,151467,89500,97560,96099,233140,86030,137770,169670,209874
"PG(18:1(9)_18:3(6,9,12))",0,0,0,0,0,0,3302,0,0,0,21210,0
PG(18:1(9)_20:1(11)),0,0,0,14039,0,0,0,0,0,0,0,8782
"PG(18:1(9)_20:2(11,14))",53440,59480,24780,35660,14809,0,0,61309,20820,30480,44860,47036
"PG(18:1(9)_20:3(8,11,14))",32627,38443,17314,26420,0,0,0,35913,4306,25275,0,34490
