name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
PA(16:0_18:1(11)),207650,199970,216387.3,203431,192113,206247,212980,196734,216360,199479,125289,188152,190030.5,167593,187015,172033,178200,202100
"PA(16:0_18:2(9,12))",4778,0,0,0,2503,0,3583,0,0,0,0,0,0,0,1587,0,0,0
PA(16:1(9)_16:1(9)),3404,27243,35060,24720,29700,24150,0,20769,0,0,26477,26215,20030,30218,9632,31579,33615,7112
PA(18:0_18:1(9)),0,0,0,0,0,0,0,0,0,0,3701,0,0,0,0,0,0,0
PA(18:1(9)_18:1(9)),72790,106400,115800,107800,107600,103700,79120,95900,81160,73100,95480,91260,90980,90800,76760,87090,91300,46860
"PA(18:1(9)_18:2(9,12))",14090,34520,39420,34630,32980,33347,12780,28110,10930,15570,8834,0,0,0,13480,0,16110,16588
PC(14:0_18:1(11)),443200,515700,514200,524500,586800,470300,362300,494400,378800,383300,466500,532900,471700,484300,390600,535500,601800,376200
"PC(14:0_18:2(9,12))",0,0,0,64860,0,0,0,82610,0,0,0,0,72120,0,0,0,55900,0
"PC(14:1(9)_20:2(11,14))",2340,35500,55340,40770,46200,41840,0,39140,0,0,15780,14490,10680,12720,5991,14850,16650,4410
PC(16:0_14:1(9)),245100,110600,156500,147100,104500,143430,298600,110400,317150,235000,116300,127700,223700,205530,260200,235800,236900,258500
"PC(16:0_18:2(9,11))",0,0,0,0,0,0,0,0,0,30580,0,0,0,0,0,0,0,0
PC(16:0_20:1(11)),252800,134400,145000,150100,145000,132300,213300,130260,231980,248700,111100,122890,109230,113960,254900,123500,138330,263800
"PC(16:0_20:2(11,14))",336110,480890,541160,498360,522890,480210,328430,462540,323020,189480,319870,191688,337210,327860,308320,349570,371790,319580
"PC(16:0_20:3(8,11,14))",100420,205120,247710,219270,220220,220410,77370,194120,95040,87240,62600,81270,60510,59410,86140,71870,95290,105930
"PC(16:0_20:5(5,8,11,14,17))",1577000,1473000,621700,581700,1542000,1488000,835000,1163000,861600,585500,1511000,575900,973700,566500,567100,1048000,1427000,1167000
"PC(16:0_22:5(7,10,13,16,19))",0,20300,25960,15810,18950,19200,0,17130,0,0,0,7616,0,0,0,7989,0,0
"PC(16:0_22:6(4,7,10,13,16,19))",2949000,2877000,2310000,2206000,2797000,3047000,1947000,2837000,1904000,2199000,2786000,2198000,2242000,2235000,2163000,2611000,2971000,2652000
PC(16:1(2)_18:1(9)),150820,370100,280100,278600,268334,263433,105110,253446,127480,90760,221550,244160,218680,221360,107090,283320,259180,93690
PC(16:1(9)_16:1(9)),0,10960,0,0,0,11170,0,0,0,0,0,0,0,0,0,0,0,0
