row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_O3.mzML Peak area,neg_FRN4_O3.mzML Peak area,neg_FRN3_O3.mzML Peak area,neg_FRN2_O3.mzML Peak area,neg_FRN1_O3.mzML Peak area,neg_HFO1_O3.mzML Peak area,neg_HFO3_O3.mzML Peak area,neg_HFO2_O3.mzML Peak area,neg_HFO5_O3.mzML Peak area,neg_HFO4_O3.mzML Peak area,
190,239.96853696529092,0.16447769,,,,,,,,,,,0,0,4149.723,4553.5415,5158.6987,0,0,0,0,0,
191,274.91187605492837,0.167315,,,,,,,,,,,0,0,0,0,0,6028.7324,0,0,0,0,
192,584.1904587480652,0.167757,,,,,,,,,,,8047.5444,0,0,0,0,0,0,0,0,0,
193,563.078200389105,0.1679429,,,,,,,,,,,0,0,0,23927.984,0,0,0,0,0,0,
194,573.1888842946787,0.1679429,,,,,,,,,,,0,0,0,25800.203,0,0,0,0,0,0,
195,228.90362028952373,0.16833203,,,,,,,,,,,0,0,0,0,6406.499,0,0,0,0,0,
196,246.86403081602114,0.16846777,,,,,,,,,,,3654.512,0,5638.4326,0,0,0,6789.815,0,0,0,
197,335.91197543774615,0.16894068,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3221.8223,
198,205.9140336252584,0.17487234,,,,,,,,,,,0,0,0,0,0,2350.4277,0,0,2336.5022,0,
199,370.83329948084645,0.17572656,,,,,,,,,,,0,0,0,0,3062.729,0,0,0,1856.8407,0,
200,369.8707586096217,0.17578346,,,,,,,,,,,0,3069.9688,0,0,0,2013.5269,0,0,0,0,
201,211.9007787038507,0.176119,,,,,,,,,,,0,0,0,58613.555,57677.312,66409.4,87907.46,0,0,0,
