feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_3.mzML:area
21882,11.0595,526.44681,526.4466,0.398900857253585,C31H56O5,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(6,9)",0.7614999999999998,0.8869450000000256,0.0,0.16484450000000256,Some,None,0.0,,0.0,
22765,11.3171,842.58984,842.59056,0.8545075558420263,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(6)_22:4(7,10,13,16)",0.6735500000000001,0.8142912500000108,0.1219300075123923,0.24632813100991494,Some,Some,33929.98408835642,0.0,0.0,0.0
22765,11.3171,842.58984,842.59056,0.8545075558420263,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(9)_22:4(7,10,13,16)",0.6433250000000004,0.8328212500000092,0.08978082447347577,0.2194392845787816,Some,Some,195240.0318232872,0.0,0.0,0.0
22765,11.3171,842.58984,842.59056,0.8545075558420263,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(11)_22:4(7,10,13,16)",0.65212,0.8517180000000053,0.07182465957878062,0.20784352766302505,All,Some,33929.98408835642,0.0,0.0,0.0
22834,11.3487,526.44696,526.4466,0.6838300408827449,C31H56O5,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(6,9)",1.0,0.8709900000000061,0.0,0.18709900000000063,Some,None,15134.131712781673,,0.0,
22834,11.3487,526.44696,526.4466,0.6838300408827449,C31H56O5,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(9,12)",0.699250000000001,0.6804600000000107,0.0,0.13797100000000118,All,None,93365.86828721833,,0.0,
23596,11.625,736.49024,736.49118,1.276322141446625,C41H70NO8P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_20:5,"PE 16:1(6)_20:5(5,8,11,14,17)",0.9375999999999998,0.8695808333333351,0.03984888461365293,0.21259719102425587,All,Some,0.0,567000.0,587407.0525154572,457467.18694572547
23596,11.625,736.49024,736.49118,1.276322141446625,C41H70NO8P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_20:5,"PE 16:1(7)_20:5(5,8,11,14,17)",0.9573199999999996,0.9270809999999983,0.0,0.1884400999999998,Some,None,0.0,567000.0,492511.8653634009,457467.18694572547
23596,11.625,736.49024,736.49118,1.276322141446625,C41H70NO8P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_20:5,"PE 16:1(9)_20:5(5,8,11,14,17)",0.9429499999999997,0.9278149999999812,0.0,0.1870764999999981,All,None,0.0,567000.0,491081.0821211421,785065.6261085493
24186,11.8071,762.50552,762.50683,1.718017397941847,C43H72NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_22:6,"PE 16:1(7)_22:6(4,7,10,13,16,19)",0.9186909090909093,0.7850554545454894,0.1274603829361521,0.2723429427125616,Some,Some,0.0,0.0,555013.1050148524,0.0
24186,11.8071,762.50552,762.50683,1.718017397941847,C43H72NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_22:6,"PE 16:1(9)_22:6(4,7,10,13,16,19)",0.9440923076923082,0.8471638461538935,0.04884174803451021,0.21819901381222834,All,Some,0.0,0.0,635481.2510920847,0.0
24186,11.8071,762.50552,762.50683,1.718017397941847,C43H72NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_22:6,"PE 16:1(6)_22:6(4,7,10,13,16,19)",0.9301692307692314,0.7964792307692767,0.04884174803451021,0.211738244581459,All,Some,0.0,0.0,813505.6438930631,0.0
24282,11.834,762.50542,762.50683,1.8491637643141778,C43H72NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_22:6,"PE 16:1(7)_22:6(4,7,10,13,16,19)",0.9364888888888885,0.7476722222222129,0.13125266094035212,0.27341823986339187,Some,Some,0.0,0.0,0.0,777639.7416778443
24282,11.834,762.50542,762.50683,1.8491637643141778,C43H72NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 16:1_22:6,"PE 16:1(9)_22:6(4,7,10,13,16,19)",0.9551111111111111,0.8271722222222024,0.0574063019854271,0.22415337492167303,All,Some,0.0,0.0,0.0,811315.0713843368
